Cement,1309,Coal,7200,0.2,7.9
HouseholdGoods,1800,Coal,7200,0.2,7.2
Rubber,6000,Wood,3000,0.2,3.3
HouseholdAppliances,933,Wood,8400,0.2,9.3
LabEquipment2,2400,CopperOre,6400,0.2,8.3
VehicleParts2,1120,ImportedGoods,8400,0.1,6.7
Diamond,763,ImportedGoods,8400,0.1,6.7
Fertilizer2,7200,Wheat,2400,0.3,2.4
Fertilizer2,6000,SugarCane,3000,0.3,3
Wood,2400,Corn,7200,0.3,7.2
Snack,3333,Corn,6000,0.3,6
Sausage,3600,Wheat,5760,0.2,5.7
Meat,1800,Vegetables,7200,0.2,7.2
ConsumerElectronics,1440,ChickenCarcass,7200,0.2,7.2
FoodPack,1200,Ammonia,7200,0.2,7.2
FoodPack,1309,CrudeOil,7200,0.2,7.2
VehicleParts2,300,CrudeOil,8400,0.2,8.4
Gold,442,CrudeOil,8400,0.3,12.6
ConsumerElectronics,227,CrudeOil,8400,0.3,12.6
CompositeCore,56,FuelGas,8400,0.3,6.7
Dirt,3000,FuelGas,6000,0.2,6
Rock,7200,FuelGas,1800,0.2,1.8
IronOre,4800,Limestone,4800,0.3,3.8
IronOre,4800,Bauxite,4800,0.3,3.8
IronOre,4800,CopperOre,4800,0.3,3.8
CopperOre,4800,IronOre,4800,0.3,3.8
ConstructionParts2,840,Limestone,8400,0.2,10.1
VehicleParts2,600,IronOre,8400,0.3,9.3
HouseholdAppliances,1200,CopperOre,7800,0.3,10.1
Slag,5400,Waste,3600,0.3,7.2
Slag,6000,SourWater,2400,0.4,4.8
Slag,6000,Sludge,2400,0.4,4.8
Diesel,8400,Gold,672,0.3,1
Coal,3000,Quartz,6000,0.3,7.2
VehicleParts2,646,Quartz,8400,0.3,10.1
Gold,646,Bauxite,8400,0.2,8.4
HouseholdAppliances,1120,Bauxite,8400,0.3,8.4
ConstructionParts4,98,Bauxite,8400,0.4,8.4
CompositeCore,152,Bauxite,8400,0.4,8.4
CompositeCore,182,Limestone,8400,0.3,8.4
Sulfur,2400,Sludge,7200,0.1,7.2
Sulfur,4800,Coal,4800,0.2,4.8
ManufacturedSand,6000,Dirt,3000,0.1,3
FoodPack,3600,UraniumOre,5400,0.3,5.4
Gold,2057,UraniumOre,7200,0.4,8.6
IronOre,4800,UraniumOre,4800,0.4,5.8
LabEquipment4,1440,UraniumOre,7200,0.4,5.4
Server,91,IronOre,8400,0.3,10.1
MedicalSupplies3,1200,CopperOre,7800,0.2,9.4
LabEquipment3,1050,Coal,8400,0.2,10.1
VehicleParts3,155,Coal,8400,0.2,6.3
SolarCell,1120,Quartz,8400,0.3,10.1
ConsumerElectronics,336,Quartz,8400,0.3,10.1
Server,93,GoldOre,8400,0.3,10.1
Server,93,TitaniumOre,8400,0.4,10.1
ConstructionParts4,110,TitaniumOre,8400,0.4,10.1
